"UF","id","Name","Ps","Pi","Pr","Pt","Lon","Lat"
"AM","1303205","Novo Airão","18131","2","0","18133","-60.944","-2.621"
"AM","1303304","Novo Aripuanã","24718","0","0","24718","-60.38","-5.121"
"AM","1303403","Parintins","112705","11","0","112716","-56.736","-2.628"
"AM","1303502","Pauini","19488","0","0","19488","-66.976","-7.714"
"AM","1303536","Presidente Figueiredo","33701","2","0","33703","-60.025","-2.034"
"AM","1303569","Rio Preto da Eva","31274","0","0","31274","-59.7","-2.699"
"AM","1303601","Santa Isabel do Rio Negro","23092","0","0","23092","-65.019","-0.414"
"AM","1303700","Santo Antônio do Içá","23368","10","0","23378","-67.94","-3.102"
"AM","1303809","São Gabriel da Cachoeira","43830","1","0","43831","-67.089","-0.13"
"AM","1303908","São Paulo de Olivença","37293","7","0","37300","-68.873","-3.378"
"AM","1303957","São Sebastião do Uatumã","13105","0","0","13105","-57.871","-2.572"
"AM","1304005","Silves","9147","0","0","9147","-58.209","-2.839"
"AM","1304062","Tabatinga","62343","3","0","62346","-69.938","-4.253"
"AM","1304104","Tapauá","18039","0","0","18039","-63.183","-5.628"
"AM","1304203","Tefé","62229","1","0","62230","-64.711","-3.354"
"AM","1304237","Tonantins","18628","4","0","18632","-67.802","-2.873"
"AM","1304260","Uarini","13276","0","0","13276","-65.108","-2.99"
"AM","1304302","Urucará","17065","0","0","17065","-57.76","-2.536"
"AM","1304401","Urucurituba","21650","0","0","21650","-58.155","-3.131"
"AP","1600055","Serra do Navio","5025","0","0","5025","-52.002","0.896"
"AP","1600105","Amapá","8690","0","0","8690","-50.793","2.053"
"AP","1600154","Pedra Branca do Amapari","14560","0","0","14560","-51.944","0.778"
"AP","1600204","Calçoene","10345","0","0","10345","-50.949","2.498"
"AP","1600212","Cutias","5523","0","0","5523","-50.802","0.986"
"AP","1600238","Ferreira Gomes","7087","0","0","7087","-51.18","0.858"
"AP","1600253","Itaubal","5061","0","0","5061","-50.671","-0.596"
"AP","1600279","Laranjal do Jari","46639","0","0","46639","-52.516","-0.842"
"AP","1600303","Macapá","465284","211","0","465495","-51.066","0.039"
"AP","1600402","Mazagão","19981","0","0","19981","-51.289","-0.115"
"AP","1600501","Oiapoque","24890","2","0","24892","-51.835","3.843"
"AP","1600535","Porto Grande","20143","0","0","20143","-51.413","0.713"
"AP","1600550","Pracuúba","4655","0","0","4655","-50.791","1.743"
"AP","1600600","Santana","113823","31","0","113854","-51.182","-0.058"
"AP","1600709","Tartarugalzinho","15665","0","0","15665","-50.912","1.506"
"AP","1600808","Vitória do Jari","14680","0","0","14680","-52.424","-0.938"
"BA","2900108","Abaíra","9211","1","0","9212","-41.664","-13.25"
"BA","2900207","Abaré","19939","0","0","19939","-39.115","-8.721"
"BA","2900306","Acajutiba","15764","0","0","15764","-38.017","-11.662"
"BA","2900355","Adustina","17253","1","0","17254","-38.1","-10.533"
"BA","2900405","Água Fria","17431","0","0","17431","-38.767","-11.867"
"BA","2900504","Érico Cardoso","11405","0","0","11405","-42.14","-13.418"
"BA","2900603","Aiquara","4745","0","0","4745","-39.888","-14.129"
"BA","2900702","Alagoinhas","155357","5","0","155362","-38.419","-12.136"
"BA","2900801","Alcobaça","23331","0","0","23331","-39.196","-17.519"
"BA","2900900","Almadina","6062","0","0","6062","-39.637","-14.705"
"BA","2901007","Amargosa","38041","0","0","38041","-39.605","-13.03"
"BA","2901106","Amélia Rodrigues","26424","0","0","26424","-38.759","-12.409"
"BA","2901155","América Dourada","16781","0","0","16781","-41.436","-11.455"
"BA","2901205","Anagé","19824","0","0","19824","-41.136","-14.612"
"BA","2901304","Andaraí","13732","0","0","13732","-41.331","-12.807"
"BA","2901353","Andorinha","15551","0","0","15551","-39.833","-10.345"
"BA","2901403","Angical","14707","0","0","14707","-44.694","-12.007"
"BA","2901502","Anguera","11402","0","0","11402","-39.246","-12.151"
"BA","2901601","Antas","19382","0","0","19382","-38.333","-10.4"
"BA","2901700","Antônio Cardoso","12200","0","0","12200","-39.12","-12.435"
"BA","2901809","Antônio Gonçalves","11989","0","0","11989","-40.274","-10.573"
"BA","2901908","Aporá","19223","0","0","19223","-38.081","-11.66"
"BA","2901957","Apuarema","7745","0","0","7745","-39.744","-13.856"
